dba,store_number,store_type,store_sub_type,store_name,address,address_line_2,city,region,state,zip_code,county,country,country_code,phone_number,fax_number,store_hours,cvs_pharmacy,cvs_pharmacy_phone_number,cvs_pharmacy_fax_number,cvs_pharmacy_hours,optical_phone_number,optical_hours,clinic_phone_number,clinic_hours,clinic,mobile_kiosk,mobile_kiosk_hours,fresh_grocery,starbucks,ulta_at_target,drive_up,store_pickup,open_date,grand_open_date,latitude,longitude,geo_accuracy
Target,1355,Store,General Merch,Lacey,665 Sleater Kinney Rd Se,,Lacey,Washington,WA,98503,Thurston County,United States,US,(360) 486-8920,(360) 350-6525,"Wednesday:08:00:00-22:00:00,thursday:08:00:00-22:00:00,friday:08:00:00-23:00:00,saturday:08:00:00-23:00:00,sunday:08:00:00-22:00:00,monday:08:00:00-22:00:00,tuesday:08:00:00-22:00:00,",CVS pharmacy,(360) 486-8927,(360) 350-6524,"Wednesday:09:00:00-13:30:00,Thursday:09:00:00-13:30:00,Friday:09:00:00-13:30:00,Saturday:09:00:00-13:30:00,Monday:09:00:00-13:30:00,Tuesday:09:00:00-13:30:00,",,,,,,,"Thursday:11:00:00-19:00:00,Friday:11:00:00-19:00:00,Saturday:11:00:00-19:00:00,Sunday:11:00:00-19:00:00,Monday:11:00:00-19:00:00,",Fresh Grocery,Starbucks,Ulta Beauty at Target,Drive Up,Store Pickup,7/25/2001,7/29/2001,47.04296214441867,-122.83658862023773,AGGDATA_VERIFIED: ROOFTOP
Target,607,Store,General Merch,Olympia,2925 Harrison Ave Nw,,Olympia,Washington,WA,98502,Thurston County,United States,US,(360) 943-9955,(360) 570-4625,"Wednesday:08:00:00-22:00:00,thursday:08:00:00-22:00:00,friday:08:00:00-23:00:00,saturday:08:00:00-23:00:00,sunday:08:00:00-22:00:00,monday:08:00:00-22:00:00,tuesday:08:00:00-22:00:00,",CVS pharmacy,(360) 570-4617,(360) 570-4627,"Wednesday:09:00:00-13:30:00,Thursday:09:00:00-13:30:00,Friday:09:00:00-13:30:00,Monday:09:00:00-13:30:00,Tuesday:09:00:00-13:30:00,",,,,,,,"Thursday:11:00:00-19:00:00,Friday:11:00:00-19:00:00,Saturday:11:00:00-19:00:00,Sunday:11:00:00-19:00:00,Monday:11:00:00-19:00:00,",Fresh Grocery,Starbucks,,Drive Up,Store Pickup,7/19/1989,7/23/1989,47.04428701193136,-122.93811559570084,AGGDATA_VERIFIED: ROOFTOP
Target,349,Store,General Merch,Lakewood,5618 Lakewood Town Center Blvd Sw,,Lakewood,Washington,WA,98499,Pierce County,United States,US,(253) 581-7171,(253) 414-1445,"Wednesday:08:00:00-22:00:00,thursday:08:00:00-22:00:00,friday:08:00:00-23:00:00,saturday:08:00:00-23:00:00,sunday:08:00:00-22:00:00,monday:08:00:00-22:00:00,tuesday:08:00:00-22:00:00,",CVS pharmacy,(253) 414-1232,(253) 414-1446,"Wednesday:09:00:00-13:30:00,Thursday:09:00:00-13:30:00,Friday:09:00:00-13:30:00,Saturday:09:00:00-13:30:00,Sunday:11:00:00-13:30:00,Monday:09:00:00-13:30:00,Tuesday:09:00:00-13:30:00,",,,,,,,"Thursday:11:00:00-19:00:00,Friday:11:00:00-19:00:00,Saturday:11:00:00-19:00:00,Sunday:11:00:00-19:00:00,Monday:11:00:00-19:00:00,",Fresh Grocery,Starbucks,,Drive Up,Store Pickup,7/19/1989,7/23/1989,47.163112120177956,-122.5114742293954,AGGDATA_VERIFIED: ROOFTOP
Target,341,Store,General Merch,North Tacoma,3320 S 23rd St,,Tacoma,Washington,WA,98405,Pierce County,United States,US,(253) 627-2112,(253) 414-1418,"Wednesday:08:00:00-22:00:00,thursday:08:00:00-22:00:00,friday:08:00:00-22:00:00,saturday:08:00:00-22:00:00,sunday:08:00:00-22:00:00,monday:08:00:00-22:00:00,tuesday:08:00:00-22:00:00,",CVS pharmacy,(253) 414-0303,(253) 414-1408,"Wednesday:09:00:00-13:30:00,Thursday:09:00:00-13:30:00,Friday:09:00:00-13:30:00,Saturday:09:00:00-13:30:00,Sunday:09:00:00-13:30:00,Monday:09:00:00-13:30:00,Tuesday:09:00:00-13:30:00,",,,,,,,"Thursday:11:00:00-19:00:00,Friday:11:00:00-19:00:00,Saturday:11:00:00-19:00:00,Sunday:11:00:00-19:00:00,Monday:11:00:00-19:00:00,",Fresh Grocery,Starbucks,Ulta Beauty at Target,Drive Up,Store Pickup,7/20/1988,7/24/1988,47.23728973927256,-122.47991173552413,AGGDATA_VERIFIED: ROOFTOP
Target,1957,Store,General Merch,Bonney Lake,9400 192nd Ave E,,Bonney Lake,Washington,WA,98391,Pierce County,United States,US,(253) 862-5660,(253) 299-3559,"Wednesday:08:00:00-22:00:00,thursday:08:00:00-22:00:00,friday:08:00:00-22:00:00,saturday:08:00:00-22:00:00,sunday:08:00:00-22:00:00,monday:08:00:00-22:00:00,tuesday:08:00:00-22:00:00,",CVS pharmacy,(253) 862-6401,(253) 299-3565,"Wednesday:09:00:00-13:30:00,Thursday:09:00:00-13:30:00,Friday:09:00:00-13:30:00,Saturday:09:00:00-13:30:00,Sunday:09:00:00-13:30:00,Monday:09:00:00-13:30:00,Tuesday:09:00:00-13:30:00,",,,,,,,,Fresh Grocery,Starbucks,,Drive Up,Store Pickup,10/6/2004,10/10/2004,47.1725871,-122.1722339,AGGDATA_VERIFIED: ROOFTOP
Target,606,Store,General Merch,Silverdale,3201 Nw Randall Way,,Silverdale,Washington,WA,98383,Kitsap County,United States,US,(360) 692-3966,(360) 536-9117,"Wednesday:08:00:00-22:00:00,thursday:08:00:00-22:00:00,friday:08:00:00-23:00:00,saturday:08:00:00-23:00:00,sunday:08:00:00-22:00:00,monday:08:00:00-22:00:00,tuesday:08:00:00-22:00:00,",CVS pharmacy,(360) 536-6010,(360) 536-9100,"Wednesday:09:00:00-13:30:00,Thursday:09:00:00-13:30:00,Friday:09:00:00-13:30:00,Saturday:09:00:00-13:30:00,Sunday:09:00:00-13:30:00,Monday:09:00:00-13:30:00,Tuesday:09:00:00-13:30:00,",,,,,,,"Thursday:11:00:00-19:00:00,Friday:11:00:00-19:00:00,Saturday:11:00:00-19:00:00,Sunday:11:00:00-19:00:00,Monday:11:00:00-19:00:00,",Fresh Grocery,Starbucks,,Drive Up,Store Pickup,7/19/1989,7/23/1989,47.65768357272916,-122.6945185661316,AGGDATA_VERIFIED: ROOFTOP
Target,2136,Store,General Merch,Puyallup South,10302 156th St E,,Puyallup,Washington,WA,98374,Pierce County,United States,US,(253) 604-1066,(253) 604-1076,"Wednesday:08:00:00-22:00:00,thursday:08:00:00-22:00:00,friday:08:00:00-23:00:00,saturday:08:00:00-23:00:00,sunday:08:00:00-22:00:00,monday:08:00:00-22:00:00,tuesday:08:00:00-22:00:00,",CVS pharmacy,(253) 604-1067,(253) 604-1077,"Wednesday:09:00:00-13:30:00,Thursday:09:00:00-13:30:00,Friday:09:00:00-13:30:00,Saturday:09:00:00-13:30:00,Sunday:09:00:00-13:30:00,Monday:09:00:00-13:30:00,Tuesday:09:00:00-13:30:00,",,,,,,,,Fresh Grocery,Starbucks,,Drive Up,Store Pickup,10/8/2008,10/12/2008,47.11292268422436,-122.29179678484799,AGGDATA_VERIFIED: ROOFTOP
Target,342,Store,General Merch,Puyallup,3310 S Meridian,,Puyallup,Washington,WA,98373,Pierce County,United States,US,(253) 840-2900,(253) 200-3815,"Wednesday:08:00:00-22:00:00,thursday:08:00:00-22:00:00,friday:08:00:00-23:00:00,saturday:08:00:00-23:00:00,sunday:08:00:00-22:00:00,monday:08:00:00-22:00:00,tuesday:08:00:00-22:00:00,",CVS pharmacy,(253) 864-4617,(253) 200-3816,"Wednesday:09:00:00-13:30:00,Thursday:09:00:00-13:30:00,Friday:09:00:00-13:30:00,Saturday:09:00:00-13:30:00,Sunday:11:00:00-13:30:00,Monday:09:00:00-13:30:00,Tuesday:09:00:00-13:30:00,",,,,,,,,Fresh Grocery,Starbucks,,Drive Up,Store Pickup,7/20/1988,7/24/1988,47.15991558598098,-122.29526840150358,AGGDATA_VERIFIED: ROOFTOP
Target,1205,Store,General Merch,Gig Harbor,11400 51st Ave Nw,,Gig Harbor,Washington,WA,98332,Pierce County,United States,US,(253) 858-9777,(253) 858-9768,"Wednesday:08:00:00-22:00:00,thursday:08:00:00-22:00:00,friday:08:00:00-23:00:00,saturday:08:00:00-23:00:00,sunday:08:00:00-22:00:00,monday:08:00:00-22:00:00,tuesday:08:00:00-22:00:00,",CVS pharmacy,(253) 858-7799,(253) 858-7799,"Wednesday:09:00:00-13:30:00,Thursday:09:00:00-13:30:00,Friday:09:00:00-13:30:00,Saturday:09:00:00-13:30:00,Sunday:09:00:00-13:30:00,Monday:09:00:00-13:30:00,Tuesday:09:00:00-13:30:00,",(253) 858-1881,"Wednesday:09:00:00-19:00:00,Thursday:09:00:00-19:00:00,Friday:09:00:00-19:00:00,Saturday:09:00:00-18:00:00,Sunday:12:00:00-16:00:00,Monday:09:00:00-19:00:00,Tuesday:09:00:00-19:00:00,",,,,,"Thursday:11:00:00-19:00:00,Friday:11:00:00-19:00:00,Saturday:11:00:00-19:00:00,Sunday:11:00:00-19:00:00,Monday:11:00:00-19:00:00,",Fresh Grocery,Starbucks,Ulta Beauty at Target,Drive Up,Store Pickup,10/10/2001,10/14/2001,47.36130823506354,-122.60798782110216,AGGDATA_VERIFIED: ROOFTOP
Target,2192,Store,General Merch,Marysville,16818 Twin Lakes Ave,,Marysville,Washington,WA,98271,Snohomish County,United States,US,(360) 386-4020,(360) 386-4978,"Wednesday:08:00:00-22:00:00,thursday:08:00:00-22:00:00,friday:08:00:00-23:00:00,saturday:08:00:00-23:00:00,sunday:08:00:00-22:00:00,monday:08:00:00-22:00:00,tuesday:08:00:00-22:00:00,",CVS pharmacy,(360) 386-4021,(360) 386-4979,"Wednesday:09:00:00-13:30:00,Thursday:09:00:00-13:30:00,Friday:09:00:00-13:30:00,Saturday:09:00:00-13:30:00,Sunday:11:00:00-13:30:00,Monday:09:00:00-13:30:00,Tuesday:09:00:00-13:30:00,",,,,,,,,Fresh Grocery,Starbucks,,Drive Up,Store Pickup,10/4/2006,10/8/2006,48.14892506582375,-122.1926603280008,AGGDATA_VERIFIED: ROOFTOP
Target,1331,Store,General Merch,Lake Stevens,9601 Market Pl,,Lake Stevens,Washington,WA,98258,Snohomish County,United States,US,(425) 397-8144,(425) 249-5640,"Wednesday:08:00:00-22:00:00,thursday:08:00:00-22:00:00,friday:08:00:00-23:00:00,saturday:08:00:00-23:00:00,sunday:08:00:00-22:00:00,monday:08:00:00-22:00:00,tuesday:08:00:00-22:00:00,",CVS pharmacy,(425) 397-8944,(425) 249-5639,"Wednesday:09:00:00-13:30:00,Thursday:09:00:00-13:30:00,Friday:09:00:00-13:30:00,Saturday:09:00:00-13:30:00,Sunday:09:00:00-13:30:00,Monday:09:00:00-13:30:00,Tuesday:09:00:00-13:30:00,",(425) 334-5536,"Wednesday:09:00:00-19:00:00,Thursday:09:00:00-19:00:00,Friday:09:00:00-19:00:00,Saturday:09:00:00-18:00:00,Sunday:12:00:00-16:00:00,Monday:09:00:00-19:00:00,Tuesday:09:00:00-19:00:00,",,,,,,Fresh Grocery,Starbucks,,Drive Up,Store Pickup,7/25/2001,7/29/2001,47.999067063995376,-122.10142476455687,AGGDATA_VERIFIED: ROOFTOP
Target,696,Store,General Merch,Burlington,199 Cascade Mall Dr,,Burlington,Washington,WA,98233,Skagit County,United States,US,(360) 757-6737,(360) 588-5412,"Wednesday:08:00:00-22:00:00,thursday:08:00:00-22:00:00,friday:08:00:00-22:00:00,saturday:08:00:00-22:00:00,sunday:08:00:00-22:00:00,monday:08:00:00-22:00:00,tuesday:08:00:00-22:00:00,",,,,,,,,,,,,Fresh Grocery,Starbucks,,Drive Up,Store Pickup,7/22/1992,7/26/1992,48.465772558550604,-122.33898689970376,AGGDATA_VERIFIED: ROOFTOP
Target,348,Store,General Merch,Bellingham,30 Bellis Fair Pkwy,,Bellingham,Washington,WA,98226,Whatcom County,United States,US,(360) 734-0220,(360) 305-3416,"Wednesday:08:00:00-22:00:00,thursday:08:00:00-22:00:00,friday:08:00:00-22:00:00,saturday:08:00:00-22:00:00,sunday:08:00:00-22:00:00,monday:08:00:00-22:00:00,tuesday:08:00:00-22:00:00,",CVS pharmacy,(360) 756-5720,(360) 305-3417,"Wednesday:09:00:00-13:30:00,Thursday:09:00:00-13:30:00,Friday:09:00:00-13:30:00,Saturday:09:00:00-13:30:00,Sunday:11:00:00-13:30:00,Monday:09:00:00-13:30:00,Tuesday:09:00:00-13:30:00,",,,,,,,"Thursday:11:00:00-19:00:00,Friday:11:00:00-19:00:00,Saturday:11:00:00-19:00:00,Sunday:11:00:00-19:00:00,Monday:11:00:00-19:00:00,",Fresh Grocery,,,Drive Up,Store Pickup,10/5/1988,10/9/1988,48.78674262245581,-122.49310277402402,AGGDATA_VERIFIED: ROOFTOP
Target,337,Store,General Merch,Everett,405 Se Everett Mall Way,,Everett,Washington,WA,98208,Snohomish County,United States,US,(425) 353-3167,(425) 249-5601,"Wednesday:08:00:00-22:00:00,thursday:08:00:00-22:00:00,friday:08:00:00-22:00:00,saturday:08:00:00-22:00:00,sunday:08:00:00-22:00:00,monday:08:00:00-22:00:00,tuesday:08:00:00-22:00:00,",CVS pharmacy,(425) 353-7967,(425) 249-5602,"Wednesday:09:00:00-13:30:00,Thursday:09:00:00-13:30:00,Friday:09:00:00-13:30:00,Saturday:09:00:00-13:30:00,Sunday:11:00:00-13:30:00,Monday:09:00:00-13:30:00,Tuesday:09:00:00-13:30:00,",,,,,,,"Thursday:11:00:00-19:00:00,Friday:11:00:00-19:00:00,Saturday:11:00:00-19:00:00,Sunday:11:00:00-19:00:00,Monday:11:00:00-19:00:00,",Fresh Grocery,Starbucks,,Drive Up,Store Pickup,7/20/1988,7/24/1988,47.91047336969962,-122.22729116678241,AGGDATA_VERIFIED: ROOFTOP
Target,627,Store,General Merch,South Center,301 Strander Blvd,,Tukwila,Washington,WA,98188,King County,United States,US,(206) 575-0682,(206) 494-9957,"Wednesday:08:00:00-22:00:00,thursday:08:00:00-22:00:00,friday:08:00:00-22:00:00,saturday:08:00:00-22:00:00,sunday:08:00:00-22:00:00,monday:08:00:00-22:00:00,tuesday:08:00:00-22:00:00,",CVS pharmacy,(206) 394-2100,(206) 494-9959,"Wednesday:09:00:00-13:30:00,Thursday:09:00:00-13:30:00,Friday:09:00:00-13:30:00,Saturday:09:00:00-13:30:00,Sunday:11:00:00-13:30:00,Monday:09:00:00-13:30:00,Tuesday:09:00:00-13:30:00,",,,,,,,,Fresh Grocery,,,Drive Up,Store Pickup,7/25/1990,7/29/1990,47.45524241460329,-122.25883936023111,AGGDATA_VERIFIED: ROOFTOP
